Timestamp,203_CO2,204_CO2,111_CO2,308_CO2,307_CO2,205_CO2,310_CO2,202_CO2,112_CO2,206_CO2,306_CO2,305_CO2,105_CO2,201_CO2,109_CO2,107_CO2,102_CO2,311_CO2,301_CO2,104_CO2
2019-07-13 8:00,795.6043701,821.0012207,543.5897217,685.7142944,852.7472534,841.0256348,584.6153564,804.8840332,638.8278198,631.0134277,617.8265991,673.0158691,479.609314,856.65448,600.732605,589.987793,593.8809814,673.9926758,421.0012512,557.7533569
2019-07-13 9:00,782.9059448,807.8143921,526.0073242,660.8058472,827.8388062,811.6679688,559.7069702,792.6739502,620.757019,619.7802124,617.8265991,673.0158691,473.7485046,840.0488892,600.732605,582.6617432,585.5921631,652.0146484,421.0256042,557.7533569
2019-07-13 10:00,778.9987793,805.8607788,528.9377441,644.6886597,808.7912598,825.8851929,568.9865723,789.7435913,617.8265991,617.8265991,617.8265991,673.0158691,473.7485046,842.979248,600.732605,576.8009644,585.5921631,635.8974609,400.512848,564.5910034
2019-07-13 11:00,802.930481,830.7692261,564.5910034,669.5970459,847.8632813,850.7716675,606.5934448,820.0244141,694.593811,647.6190796,617.8265991,673.0158691,530.8912964,867.8876953,600.732605,589.987793,646.6422729,678.876709,484.0293578,640.7814331
2019-07-13 12:00,856.65448,891.8192749,1006.593445,704.7619019,909.8900757,917.7044678,656.8986206,874.7252197,750.4154663,708.6690674,617.8265991,673.0158691,561.6605835,927.9609985,600.732605,634.6646118,652.0146484,719.9023438,646.6666565,649.5726318
2019-07-13 13:00,873.7484741,897.6801147,855.6776733,722.8327026,914.7741089,924.9798584,661.7826538,891.8192749,749.6947021,716.9719238,617.8265991,673.0158691,565.5007324,930.8912964,600.732605,642.7350464,654.9450684,729.6703491,678.9010925,649.5726318
2019-07-13 14:00,879.609314,908.9133301,859.7191772,739.7313232,937.7290039,946.0317383,673.0158691,897.6801147,753.7362061,729.6703491,617.8265991,673.0158691,567.032959,942.612915,600.732605,660.8058472,657.8754272,744.81073,712.6008302,657.8754272
2019-07-13 15:00,874.7252197,903.0525513,916.7453003,726.7399292,935.7753906,941.6361694,673.0158691,897.6801147,738.9155884,726.7399292,617.8265991,673.0158691,568.0097656,939.6825562,600.732605,667.6159668,662.7594604,746.7643433,702.3795167,646.8471069
2019-07-13 16:00,867.8876953,896.7033691,858.8867188,714.0844116,932.8985596,927.9609985,667.576355,886.9353027,747.7411499,718.9255371,617.8265991,673.0158691,562.6373901,932.8449097,600.732605,665.6898804,675.0365601,737.9388428,676.7388002,648.4910278
2019-07-13 17:00,853.7241211,887.9121094,731.677002,711.5994873,934.7985229,940.6593628,656.8986206,882.0512695,733.6057129,703.7850952,617.8265991,673.0158691,567.032959,927.9609985,600.732605,669.5970459,678.876709,735.0427246,661.3186646,649.5726318
2019-07-13 18:00,811.7216187,826.8620605,542.612915,663.7362671,890.8515015,887.9121094,618.8034058,836.6300659,672.0390625,652.0146484,617.8265991,673.0158691,515.7509155,891.765625,600.732605,648.5958862,617.8265991,710.6226807,558.7546082,598.7789917
2019-07-13 19:00,792.6739502,806.8376465,500.6105042,637.8510742,892.7961426,885.9584961,598.7789917,820.0244141,660.8058472,652.9914551,617.8265991,673.0158691,494.7496948,871.7949219,600.732605,627.5946045,602.6862183,685.7142944,498.6813659,577.7637329
2019-07-13 20:00,784.8595581,795.6043701,475.7020874,652.9914551,862.0268555,874.7252197,594.8718262,809.7680054,646.6422729,611.6141357,617.8265991,673.0158691,486.9352722,868.8644409,600.732605,607.5701904,596.8254395,683.7606812,486.9597779,572.8937378
2019-07-13 21:00,781.9291382,793.6507568,477.6557007,631.0134277,843.9561157,847.8632813,582.6617432,806.8376465,610.012207,596.0534668,617.8265991,673.0158691,481.5628967,865.934082,600.732605,597.177063,592.9182129,673.9926758,429.79245,567.032959
2019-07-13 22:00,779.9755859,791.6971436,483.0280762,635.8974609,838.5836792,834.6764526,579.7313843,805.8607788,611.9658203,593.8950195,617.8265991,673.0158691,474.7252808,857.6312866,600.732605,585.5921631,588.0341797,656.8986206,426.8620605,556.7765503
2019-07-13 23:00,773.6264038,788.7667847,491.8192749,647.6190796,833.699585,835.6531982,572.8937378,803.9072266,611.3406982,590.9920654,617.8265991,673.0158691,477.6557007,856.6432495,600.732605,576.8546143,583.4431763,658.8179321,425.8852539,558.7301636
